bpp_range,metric,config_a,config_b,characteristic,correlation,p_value,n,wins_a,wins_b
Very Low (0.2-0.5),ssimulacra2,jpegli-420,mozjpeg-420,variance,-0.2278638372836716,0.03828456325015487,83,70,13
Very Low (0.2-0.5),ssimulacra2,jpegli-420,mozjpeg-420,edge_density,-0.08792639369836405,0.42927567710808356,83,70,13
Very Low (0.2-0.5),ssimulacra2,jpegli-420,mozjpeg-420,chroma_complexity,-0.09764425253171609,0.3798398243083434,83,70,13
Very Low (0.2-0.5),ssimulacra2,jpegli-420,mozjpeg-420,uniform_block_fraction,-0.18885087745222232,0.08729488882057201,83,70,13
Very Low (0.2-0.5),ssimulacra2,jpegli-420,jpegli-444,variance,0.18431722214762286,0.12115985251550919,72,70,2
Very Low (0.2-0.5),ssimulacra2,jpegli-420,jpegli-444,edge_density,0.17086326221123307,0.15127990105105116,72,70,2
Very Low (0.2-0.5),ssimulacra2,jpegli-420,jpegli-444,chroma_complexity,-0.26105862163412036,0.026763521332764915,72,70,2
Very Low (0.2-0.5),ssimulacra2,jpegli-420,jpegli-444,uniform_block_fraction,-0.3355088967287457,0.003963210686017642,72,70,2
Very Low (0.2-0.5),ssimulacra2,jpegli-420,mozjpeg-444,variance,0.03244047348289244,0.7882628828578776,71,70,1
Very Low (0.2-0.5),ssimulacra2,jpegli-420,mozjpeg-444,edge_density,-0.02748012741452971,0.8200469729584755,71,70,1
Very Low (0.2-0.5),ssimulacra2,jpegli-420,mozjpeg-444,chroma_complexity,0.0461442779300498,0.7023718177523949,71,70,1
Very Low (0.2-0.5),ssimulacra2,jpegli-420,mozjpeg-444,uniform_block_fraction,-0.3666147919778102,0.0016632343453439685,71,70,1
Very Low (0.2-0.5),ssimulacra2,mozjpeg-420,mozjpeg-444,variance,0.20524001726748178,0.4815012579986486,14,13,1
Very Low (0.2-0.5),ssimulacra2,mozjpeg-420,mozjpeg-444,edge_density,0.005008858417841117,0.9864414306866687,14,13,1
Very Low (0.2-0.5),ssimulacra2,mozjpeg-420,mozjpeg-444,chroma_complexity,0.1424146082928422,0.6271984278252547,14,13,1
Very Low (0.2-0.5),ssimulacra2,mozjpeg-420,mozjpeg-444,uniform_block_fraction,-0.43423484230745385,0.12079856702057186,14,13,1
Very Low (0.2-0.5),ssimulacra2,jpegli-444,mozjpeg-420,variance,-0.47808202085070756,0.07146168680440623,15,2,13
Very Low (0.2-0.5),ssimulacra2,jpegli-444,mozjpeg-420,edge_density,-0.33926410423481695,0.21606005123456137,15,2,13
Very Low (0.2-0.5),ssimulacra2,jpegli-444,mozjpeg-420,chroma_complexity,0.33513405991148143,0.22206084698694756,15,2,13
