z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
0,8.942,336,jpegli-420,46.42857142857143,156,10,71,13,46.42857142857143,2.976190476190476,21.13095238095238,3.869047619047619,21.13095238095238,4.464285714285714,24791.306547619046,28247.880952380954,25840.800595238095,28001.95535714286,49.404761904761905,50.595238095238095
1,8.816714348877058,336,jpegli-420,45.23809523809524,152,11,77,12,45.23809523809524,3.273809523809524,22.916666666666664,3.571428571428571,21.13095238095238,3.869047619047619,25105.720238095237,28381.01488095238,26119.77380952381,28345.21130952381,48.511904761904766,51.488095238095234
2,8.693184065051955,336,jpegli-420,48.80952380952381,164,11,70,13,48.80952380952381,3.273809523809524,20.833333333333336,3.869047619047619,20.238095238095237,2.976190476190476,25470.91369047619,28546.22619047619,26469.315476190477,28656.574404761905,52.083333333333336,47.916666666666664
3,8.571384554213035,336,jpegli-420,50.0,168,11,68,13,50.0,3.273809523809524,20.238095238095237,3.869047619047619,19.047619047619047,3.571428571428571,25712.809523809523,28701.42261904762,26939.48511904762,28989.997023809523,53.273809523809526,46.726190476190474
4,8.45129156663758,336,jpegli-420,49.107142857142854,165,10,67,12,49.107142857142854,2.976190476190476,19.940476190476193,3.571428571428571,19.940476190476193,4.464285714285714,25979.252976190477,28958.14285714286,27274.095238095237,29597.46130952381,52.08333333333333,47.91666666666668
5,8.332881192363812,336,jpegli-420,51.19047619047619,172,9,67,12,51.19047619047619,2.6785714285714284,19.940476190476193,3.571428571428571,18.154761904761905,4.464285714285714,26467.175595238095,29299.946428571428,27636.811940298507,30094.970238095237,53.86904761904762,46.13095238095239
6,8.216129856430529,336,jpegli-420,51.488095238095234,173,9,68,12,51.488095238095234,2.6785714285714284,20.238095238095237,3.571428571428571,17.559523809523807,4.464285714285714,26725.991071428572,29461.279761904763,27863.850746268658,30244.116071428572,54.166666666666664,45.833333333333336
7,8.10101431418343,336,jpegli-420,53.273809523809526,179,10,66,11,53.273809523809526,2.976190476190476,19.642857142857142,3.273809523809524,16.071428571428573,4.761904761904762,26921.223880597016,29794.901785714286,28276.719402985076,30512.699404761905,56.25,43.75
8,7.987511646647225,336,jpegli-420,52.976190476190474,178,10,68,10,52.976190476190474,2.976190476190476,20.238095238095237,2.976190476190476,16.666666666666664,4.166666666666666,27175.93134328358,30152.5,28742.98208955224,31082.35714285714,55.95238095238095,44.047619047619044
9,7.875599255962559,336,jpegli-420,52.38095238095239,176,10,69,12,52.38095238095239,2.976190476190476,20.535714285714285,3.571428571428571,16.36904761904762,4.166666666666666,27647.97014925373,30501.58035714286,29121.761194029852,31399.28869047619,55.35714285714286,44.64285714285714
10,7.765254860886889,336,jpegli-420,52.38095238095239,176,11,69,12,52.38095238095239,3.273809523809524,20.535714285714285,3.571428571428571,16.071428571428573,4.166666666666666,27921.70447761194,30849.26488095238,29662.662686567164,31803.32738095238,55.65476190476191,44.345238095238095
11,7.656456492358393,336,jpegli-420,50.89285714285714,171,16,72,9,50.89285714285714,4.761904761904762,21.428571428571427,2.6785714285714284,16.071428571428573,4.166666666666666,28300.5223880597,31127.315476190477,29870.209580838324,32278.583333333332,55.6547619047619,44.345238095238095
12,7.549182489122025,336,jpegli-420,47.61904761904761,160,16,78,10,47.61904761904761,4.761904761904762,23.214285714285715,2.976190476190476,17.559523809523807,3.869047619047619,28660.5,31351.51785714286,30243.33233532934,32997.78869047619,52.38095238095237,47.61904761904762
13,7.443411493416861,336,jpegli-420,49.107142857142854,165,14,74,10,49.107142857142854,4.166666666666666,22.023809523809522,2.976190476190476,17.857142857142858,3.869047619047619,29289.41017964072,31740.02380952381,30924.071856287424,33391.19940476191,53.27380952380952,46.726190476190474
14,7.33912244672387,336,jpegli-420,52.67857142857143,177,13,73,10,52.67857142857143,3.869047619047619,21.726190476190478,2.976190476190476,14.583333333333334,4.166666666666666,29666.25748502994,32507.535714285714,31424.82634730539,33787.21428571428,56.54761904761905,43.45238095238095
15,7.236294585573254,336,jpegli-420,50.595238095238095,170,17,74,9,50.595238095238095,5.059523809523809,22.023809523809522,2.6785714285714284,15.773809523809524,3.869047619047619,30100.991017964072,32839.96428571428,31970.29640718563,34192.17261904762,55.654761904761905,44.345238095238095
