z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
0,0.02277,336,mozjpeg-420,34.523809523809526,94,7,116,11,27.976190476190478,2.083333333333333,34.523809523809526,3.273809523809524,29.464285714285715,2.6785714285714284,24317.416666666668,28952.92261904762,23864.32738095238,27582.51488095238,30.05952380952381,69.94047619047619
1,0.022188050541718025,336,mozjpeg-420,32.142857142857146,99,8,108,10,29.464285714285715,2.380952380952381,32.142857142857146,2.976190476190476,30.357142857142854,2.6785714285714284,24536.458333333332,29109.886904761905,24235.636904761905,27880.026785714286,31.845238095238095,68.15476190476191
2,0.021620974389189,336,mozjpeg-420,33.92857142857143,90,7,114,10,26.785714285714285,2.083333333333333,33.92857142857143,2.976190476190476,30.952380952380953,3.273809523809524,24818.696428571428,29379.66964285714,24514.386904761905,28194.92261904762,28.869047619047617,71.13095238095238
3,0.021068391414515445,336,mozjpeg-420,31.547619047619047,99,8,106,9,29.464285714285715,2.380952380952381,31.547619047619047,2.6785714285714284,30.654761904761905,3.273809523809524,24971.333333333332,29639.9375,25045.244047619046,28676.01488095238,31.845238095238095,68.1547619047619
4,0.020529931205005132,336,jpegli-420,30.952380952380953,104,7,101,10,30.952380952380953,2.083333333333333,30.059523809523807,2.976190476190476,30.952380952380953,2.976190476190476,25286.604166666668,29988.583333333332,25210.752976190477,28987.464285714286,33.035714285714285,66.96428571428572
5,0.02000523281487255,336,mozjpeg-max-420,32.44047619047619,95,6,106,10,28.273809523809522,1.7857142857142856,31.547619047619047,2.976190476190476,32.44047619047619,2.976190476190476,25569.98214285714,30203.261904761905,25540.410714285714,29491.64880952381,30.059523809523807,69.9404761904762
6,0.019493944523286257,336,mozjpeg-420,33.63095238095239,91,6,113,10,27.083333333333332,1.7857142857142856,33.63095238095239,2.976190476190476,31.845238095238095,2.6785714285714284,25904.845238095237,30552.04761904762,25821.88988095238,29890.54761904762,28.869047619047617,71.1309523809524
7,0.018995723598600037,336,mozjpeg-420,34.226190476190474,90,6,115,9,26.785714285714285,1.7857142857142856,34.226190476190474,2.6785714285714284,31.845238095238095,2.6785714285714284,26203.0,30856.833333333332,26011.994047619046,30344.04761904762,28.57142857142857,71.42857142857143
8,0.01851023606860973,336,mozjpeg-420,32.142857142857146,106,5,108,9,31.547619047619047,1.488095238095238,32.142857142857146,2.6785714285714284,29.464285714285715,2.6785714285714284,26493.020833333332,31128.83035714286,26444.26488095238,30766.720238095237,33.035714285714285,66.96428571428572
9,0.018037156496681802,336,mozjpeg-420,33.035714285714285,107,5,111,9,31.845238095238095,1.488095238095238,33.035714285714285,2.6785714285714284,28.273809523809522,2.6785714285714284,27000.71130952381,31493.53869047619,26839.863095238095,31174.57738095238,33.333333333333336,66.66666666666667
10,0.017576167763603576,336,mozjpeg-420,35.11904761904761,98,6,118,8,29.166666666666668,1.7857142857142856,35.11904761904761,2.380952380952381,29.166666666666668,2.380952380952381,27235.372023809523,31915.76785714286,27144.339285714286,31536.714285714286,30.952380952380953,69.04761904761904
