z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
0,0,336,jpegli-420,33.63095238095239,113.0,5.0,104.0,10.0,33.63095238095239,1.488095238095238,30.952380952380953,2.976190476190476,29.761904761904763,1.1904761904761905,22528.761904761905,26923.005952380954,22035.08630952381,24960.10714285714,35.11904761904763,64.88095238095238
1,1,336,jpegli-420,34.82142857142857,117.0,4.0,102.0,11.0,34.82142857142857,1.1904761904761905,30.357142857142854,3.273809523809524,28.869047619047617,1.488095238095238,22575.154761904763,27072.494047619046,22147.1875,25186.440476190477,36.01190476190476,63.98809523809524
2,2,336,jpegli-420,35.41666666666667,119.0,4.0,106.0,11.0,35.41666666666667,1.1904761904761905,31.547619047619047,3.273809523809524,27.380952380952383,1.1904761904761905,22679.5625,27185.339285714286,22291.729166666668,25466.26785714286,36.60714285714286,63.39285714285714
3,3,336,jpegli-420,35.714285714285715,120.0,4.0,104.0,9.0,35.714285714285715,1.1904761904761905,30.952380952380953,2.6785714285714284,27.976190476190478,1.488095238095238,22783.443452380954,27286.458333333332,22499.949404761905,25600.279761904763,36.904761904761905,63.0952380952381
4,4,336,jpegli-420,37.797619047619044,127.0,4.0,99.0,10.0,37.797619047619044,1.1904761904761905,29.464285714285715,2.976190476190476,26.785714285714285,1.7857142857142856,22869.54464285714,27378.678571428572,22722.839285714286,25889.35119047619,38.988095238095234,61.01190476190476
5,5,336,jpegli-420,41.07142857142857,138.0,4.0,98.0,10.0,41.07142857142857,1.1904761904761905,29.166666666666668,2.976190476190476,24.107142857142858,1.488095238095238,22979.71130952381,27554.8125,22984.925595238095,26174.092261904763,42.26190476190476,57.73809523809524
6,6,336,jpegli-420,44.047619047619044,148.0,4.0,90.0,10.0,44.047619047619044,1.1904761904761905,26.785714285714285,2.976190476190476,23.511904761904763,1.488095238095238,23114.645833333332,27718.16964285714,23313.904761904763,26367.276785714286,45.238095238095234,54.76190476190476
7,7,336,jpegli-420,45.83333333333333,154.0,4.0,85.0,10.0,45.83333333333333,1.1904761904761905,25.297619047619047,2.976190476190476,23.214285714285715,1.488095238095238,23305.76785714286,27931.11011904762,23522.76785714286,26521.175595238095,47.02380952380952,52.97619047619048
8,8,336,jpegli-420,45.23809523809524,152.0,4.0,86.0,9.0,45.23809523809524,1.1904761904761905,25.595238095238095,2.6785714285714284,23.809523809523807,1.488095238095238,23434.372023809523,28127.83035714286,23618.45535714286,26703.386904761905,46.42857142857143,53.57142857142857
9,9,336,jpegli-420,46.13095238095239,155.0,4.0,86.0,9.0,46.13095238095239,1.1904761904761905,25.595238095238095,2.6785714285714284,23.214285714285715,1.1904761904761905,23636.41964285714,28299.83630952381,23795.869047619046,26961.839285714286,47.32142857142858,52.67857142857143
10,10,336,jpegli-420,47.91666666666667,161.0,4.0,79.0,9.0,47.91666666666667,1.1904761904761905,23.511904761904763,2.6785714285714284,22.916666666666664,1.7857142857142856,23823.8125,28585.21130952381,23990.633928571428,27247.60714285714,49.10714285714286,50.89285714285714
11,11,336,jpegli-420,47.32142857142857,159.0,4.0,83.0,7.0,47.32142857142857,1.1904761904761905,24.702380952380953,2.083333333333333,23.214285714285715,1.488095238095238,23979.681547619046,28757.744047619046,24115.95535714286,27621.261904761905,48.51190476190476,51.48809523809524
12,12,336,jpegli-420,50.0,168.0,4.0,78.0,6.0,50.0,1.1904761904761905,23.214285714285715,1.7857142857142856,22.321428571428573,1.488095238095238,24187.244047619046,28943.3125,24328.035714285714,27961.13988095238,51.19047619047619,48.80952380952381
13,13,336,jpegli-420,51.78571428571429,174.0,4.0,68.0,6.0,51.78571428571429,1.1904761904761905,20.238095238095237,1.7857142857142856,23.511904761904763,1.488095238095238,24358.160714285714,29133.005952380954,24692.089285714286,28294.23511904762,52.97619047619048,47.023809523809526
